PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
424,1,3,0,28,1,1,14.4,3
378,1,1,1,27,0,2,211.5,1
255,0,3,0,41,0,2,20.2125,3
741,0,1,1,0,0,0,30,3
654,0,3,0,0,0,0,7.8292,2
698,0,3,0,0,0,0,7.7333,2
728,0,3,0,0,0,0,7.7375,2
570,0,3,1,32,0,0,7.8542,3
188,0,1,1,45,0,0,26.55,3
868,1,1,1,31,0,0,50.4958,3
571,0,2,1,62,0,0,10.5,3
805,1,3,1,27,0,0,6.975,3
181,1,3,0,0,8,2,69.55,3
230,0,3,0,0,3,1,25.4667,3
623,0,3,1,20,1,1,15.7417,1
247,0,3,0,25,0,0,7.775,3
768,0,3,0,30.5,0,0,7.75,2
453,0,1,1,30,0,0,27.75,1
208,0,3,1,26,0,0,18.7875,1
461,1,1,1,48,0,0,26.55,3
579,1,3,0,0,1,0,14.4583,1
133,1,3,0,47,1,0,14.5,3
621,1,3,1,27,1,0,14.4542,1
486,1,3,0,0,3,1,25.4667,3
745,0,3,1,31,0,0,7.925,3
747,0,3,1,16,1,1,20.25,3
241,0,3,0,0,1,0,14.4542,1
305,0,3,1,0,0,0,8.05,3
336,1,3,1,0,0,0,7.8958,3
339,1,3,1,45,0,0,8.05,3
18,0,2,1,0,0,0,13,3
210,0,1,1,40,0,0,31,1
407,0,3,1,51,0,0,7.75,3
603,1,1,1,0,0,0,42.4,3
686,1,2,1,25,1,2,41.5792,1
535,0,3,0,30,0,0,8.6625,3
546,1,1,1,64,0,0,26,3
556,0,1,1,62,0,0,26.55,3
847,0,3,1,0,8,2,69.55,3
435,0,1,1,50,1,0,55.9,3
504,1,3,0,37,0,0,9.5875,3
568,0,3,0,29,0,4,21.075,3
790,1,1,1,46,0,0,79.2,1
350,1,3,1,42,0,0,8.6625,3
455,1,3,1,0,0,0,8.05,3
465,0,3,1,0,0,0,8.05,3
512,1,3,1,0,0,0,8.05,3
564,1,3,1,0,0,0,8.05,3
590,0,3,1,0,0,0,8.05,3
602,0,3,1,0,0,0,7.8958,3
580,0,3,1,32,0,0,7.925,3
607,0,3,1,30,0,0,7.8958,3
443,1,3,1,25,1,0,7.775,3
585,1,3,1,0,0,0,8.7125,1
333,0,1,1,38,0,1,153.4625,3
168,0,3,0,45,1,4,27.9,3
50,0,3,0,18,1,0,17.8,3
674,0,2,1,31,0,0,13,3
817,0,3,0,23,0,0,7.925,3
34,0,2,1,66,0,0,10.5,3
170,1,3,1,28,0,0,56.4958,3
383,0,3,1,32,0,0,7.925,3
423,0,3,1,29,0,0,7.875,3
430,0,3,1,32,0,0,8.05,3
41,0,3,0,40,1,0,9.475,3
147,1,3,1,27,0,0,7.7958,3
163,0,3,1,26,0,0,7.775,3
234,1,3,0,5,4,2,31.3875,3
263,0,1,1,52,1,1,79.65,3
617,1,3,1,34,1,1,14.4,3
637,1,3,1,32,0,0,7.925,3
410,0,3,0,0,3,1,25.4667,3
483,0,3,1,50,0,0,8.05,3
604,0,3,1,44,0,0,8.05,3
74,0,3,1,26,1,0,14.4542,1
289,0,2,1,42,0,0,13,3
227,0,2,1,19,0,0,10.5,3
239,0,2,1,19,0,0,10.5,3
456,0,3,1,29,0,0,7.8958,1
891,1,3,1,32,0,0,7.75,2
246,1,1,1,44,2,0,90,2
302,0,3,1,0,2,0,23.25,2
511,1,3,1,29,0,0,7.75,2
594,1,3,0,0,0,2,7.75,2
76,1,3,1,25,0,0,7.65,3
223,1,3,1,51,0,0,8.05,3
224,0,3,1,0,0,0,7.8958,3
82,0,3,1,29,0,0,9.5,3
373,1,3,1,19,0,0,8.05,3
658,0,3,0,32,1,1,15.5,2
666,1,2,1,32,2,0,73.5,3
714,0,3,1,29,0,0,9.4833,3
770,0,3,1,32,0,0,8.3625,3
146,1,2,1,19,1,1,36.75,3
558,0,1,1,0,0,0,227.525,1
66,0,3,1,0,1,1,15.2458,1
282,1,3,1,28,0,0,7.8542,3
375,1,3,0,3,3,1,21.075,3
800,1,3,0,30,1,1,24.15,3
25,1,3,0,8,3,1,21.075,3
98,1,1,1,23,0,1,63.3583,1
283,1,3,1,16,0,0,9.5,3
544,1,2,1,32,1,0,26,3
21,0,2,1,35,0,0,26,3
489,0,3,1,30,0,0,8.05,3
520,0,3,1,32,0,0,7.8958,3
806,1,3,1,31,0,0,7.775,3
8,0,3,1,2,3,1,21.075,3
252,1,3,0,29,1,1,10.4625,3
84,0,1,1,28,0,0,47.1,3
885,1,3,1,25,0,0,7.05,3
183,1,3,1,9,4,2,31.3875,3
262,0,3,1,3,4,2,31.3875,3
392,1,3,1,21,0,0,7.7958,3
396,0,3,1,22,0,0,7.7958,3
409,0,3,1,21,0,0,7.775,3
656,0,2,1,24,2,0,73.5,3
815,0,3,1,30.5,0,0,8.05,3
818,0,2,1,31,1,1,37.0042,1
426,0,3,1,0,0,0,7.25,3
478,0,3,1,29,1,0,7.0458,3
128,0,3,1,24,0,0,7.1417,3
886,1,3,0,39,0,5,29.125,2
71,0,2,1,32,0,0,10.5,3
822,0,3,1,27,0,0,8.6625,3
374,1,1,1,22,0,0,135.6333,1
763,1,3,1,20,0,0,7.2292,1
665,0,3,1,20,1,0,7.925,3
27,0,3,1,0,0,0,7.225,1
37,0,3,1,0,0,0,7.2292,1
58,0,3,1,28.5,0,0,7.2292,1
816,0,1,1,0,0,0,0,3
73,1,2,1,21,0,0,73.5,3
638,0,2,1,31,1,1,26.25,3
198,0,3,1,42,0,1,8.4042,3
750,0,3,1,31,0,0,7.75,2
277,1,3,0,45,0,0,7.75,3
439,1,1,1,64,1,4,263,3
337,0,1,1,29,1,0,66.6,3
746,1,1,1,70,1,1,71,3
115,0,3,0,17,0,0,14.4583,1
68,0,3,1,19,0,0,8.1583,3
463,1,1,1,47,0,0,38.5,3
516,0,1,1,47,0,0,34.0208,3
288,0,3,1,22,0,0,7.8958,3
356,0,3,1,28,0,0,9.5,3
548,0,2,1,0,0,0,13.8625,1
49,0,3,1,0,2,0,21.6792,1
232,0,3,1,29,0,0,7.775,3
554,1,3,1,22,0,0,7.225,1
788,0,3,1,8,4,1,29.125,2
202,0,3,1,0,8,2,69.55,3
287,0,3,1,30,0,0,9.5,3
353,0,3,1,15,1,1,7.2292,1
533,0,3,1,17,1,1,7.2292,1
139,0,3,1,16,0,0,9.2167,3
164,0,3,1,17,0,0,8.6625,3
634,1,1,1,0,0,0,0,3
730,0,3,0,25,1,0,7.925,3
176,1,3,1,18,1,1,7.8542,3
343,1,2,1,28,0,0,13,3
464,0,2,1,48,0,0,13,3
386,1,2,1,18,0,0,73.5,3
286,1,3,1,33,0,0,8.6625,1
318,0,2,1,54,0,0,14,3
332,1,1,1,45.5,0,0,28.5,3
340,1,1,1,45,0,0,35.5,3
211,0,3,1,24,0,0,7.05,3
272,0,3,1,25,0,0,0,3
120,1,3,0,2,4,2,31.275,3
148,0,3,0,9,2,2,34.375,3
72,1,3,0,16,5,2,46.9,3
92,0,3,1,20,0,0,7.8542,3
379,1,3,1,20,0,0,4.0125,1
736,0,3,1,28.5,0,0,16.1,3
56,0,1,1,0,0,0,35.5,3
274,1,1,1,37,0,1,29.7,1
150,0,2,1,42,0,0,13,3
207,0,3,1,32,1,0,15.85,3
254,1,3,1,30,1,0,16.1,3
201,0,3,1,28,0,0,9.5,3
799,0,3,1,30,0,0,7.2292,1
186,0,1,1,0,0,0,50,3
31,1,1,1,40,0,0,27.7208,1
55,0,1,1,65,0,1,61.9792,1
156,0,1,1,51,0,1,61.3792,1
500,1,3,1,24,0,0,7.7958,3
624,0,3,1,21,0,0,7.8542,3
889,1,3,0,0,1,2,23.45,3
811,0,3,1,26,0,0,7.8875,3
871,1,3,1,26,0,0,7.8958,3
363,0,3,0,45,0,1,14.4542,1
39,1,3,0,18,2,0,18,3
476,1,1,1,0,0,0,52,3
528,0,1,1,0,0,0,221.7792,3
159,0,3,1,0,0,0,8.6625,3
345,1,2,1,36,0,0,13,3
467,0,2,1,0,0,0,0,3
482,0,2,1,0,0,0,0,3
267,1,3,1,16,4,1,39.6875,3
549,1,3,1,33,1,1,20.525,3
706,0,2,1,39,0,0,26,3
450,1,1,1,52,0,0,30.5,3
493,1,1,1,55,0,0,30.5,3
61,0,3,1,22,0,0,7.2292,1
103,0,1,1,21,0,1,77.2875,3
253,1,1,1,62,0,0,26.55,3
81,1,3,1,22,0,0,9,3
792,0,2,1,16,0,0,26,3
87,1,3,1,16,1,3,34.375,3
278,0,2,1,0,0,0,0,3
414,1,2,1,0,0,0,0,3
829,1,3,1,0,0,0,7.75,2
100,0,2,1,34,1,0,26,3
172,0,3,1,4,4,1,29.125,2
189,0,3,1,40,1,1,15.5,2
279,0,3,1,7,4,1,29.125,2
552,0,2,1,27,0,0,26,3
52,0,3,1,21,0,0,7.8,3
138,0,1,1,37,1,0,53.1,3
65,0,1,1,0,0,0,27.7208,1
793,0,3,0,0,8,2,69.55,3
864,1,3,0,0,8,2,69.55,3
226,1,3,1,22,0,0,9.35,3
35,1,1,1,28,1,0,82.1708,1
119,1,1,1,24,0,1,247.5208,1
214,1,2,1,30,0,0,13,3
402,0,3,1,26,0,0,8.05,3
419,0,2,1,30,0,0,13,3
108,1,3,1,0,0,0,7.775,3
117,1,3,1,70.5,0,0,7.75,2
127,0,3,1,0,0,0,7.75,2
197,1,3,1,0,0,0,7.75,2
261,1,3,1,0,0,0,7.75,2
281,1,3,1,65,0,0,7.75,2
389,0,3,1,0,0,0,7.7292,2
412,0,3,1,0,0,0,6.8583,2
429,0,3,1,0,0,0,7.75,2
460,1,3,1,0,0,0,7.75,2
469,0,3,1,0,0,0,7.725,2
526,1,3,1,40.5,0,0,7.75,2
553,0,3,1,0,0,0,7.8292,2
561,0,3,1,0,0,0,7.75,2
614,0,3,1,0,0,0,7.75,2
177,1,3,1,0,3,1,25.4667,3
293,0,2,1,36,0,0,12.875,1
729,0,2,1,25,1,0,26,3
303,0,3,1,19,0,0,0,3
95,0,3,1,59,0,0,7.25,3
130,1,3,1,45,0,0,6.975,3
155,0,3,1,0,0,0,7.3125,3
160,0,3,1,0,8,2,69.55,3
325,1,3,1,0,8,2,69.55,3
387,1,3,1,1,5,2,46.9,3
437,0,3,0,21,2,2,34.375,3
481,0,3,1,9,5,2,46.9,3
639,0,3,0,41,0,5,39.6875,3
684,1,3,1,14,5,2,46.9,3
687,0,3,1,14,4,1,39.6875,3
825,0,3,1,2,4,1,39.6875,3
96,1,3,1,0,0,0,8.05,3
102,1,3,1,0,0,0,7.8958,3
122,1,3,1,0,0,0,8.05,3
153,0,3,1,55.5,0,0,8.05,3
222,0,2,1,27,0,0,13,3
380,1,3,1,19,0,0,7.775,3
271,0,1,1,0,0,0,31,3
299,0,1,1,0,0,0,30.5,3
352,1,1,1,0,0,0,35,3
722,0,3,1,17,1,0,7.0542,3
297,0,3,1,23.5,0,0,7.2292,1
366,1,3,1,30,0,0,7.25,3
724,0,2,1,50,0,0,13,3
849,0,2,1,28,0,1,33,3
190,1,3,1,36,0,0,7.8958,3
17,1,3,1,2,4,1,29.125,2
434,0,3,1,17,0,0,7.125,3
145,0,2,1,18,0,0,11.5,3
182,0,2,1,0,0,0,15.05,1
192,0,2,1,19,0,0,13,3
229,1,2,1,18,0,0,13,3
673,0,2,1,70,0,0,10.5,3
852,0,3,1,74,0,0,7.775,3
144,1,3,1,19,0,0,6.75,2
404,0,3,1,28,1,0,15.85,3
422,1,3,1,21,0,0,7.7333,2
442,0,3,1,20,0,0,9.5,3
6,0,3,1,0,0,0,8.4583,2
315,1,2,1,43,1,1,26.25,3
587,0,2,1,47,0,0,15,3
295,0,3,1,24,0,0,7.8958,3
351,0,3,1,23,0,0,9.225,3
132,0,3,1,20,0,0,7.05,3
457,0,1,1,65,0,0,26.55,3
468,1,1,1,56,0,0,26.55,3
508,0,1,1,0,0,0,26.55,3
612,1,3,1,0,0,0,7.05,3
235,1,2,1,24,0,0,10.5,3
365,1,3,1,0,1,0,15.5,2
472,0,3,1,38,0,0,8.6625,3
529,1,3,1,39,0,0,7.925,3
562,0,3,1,40,0,0,7.8958,3
496,1,3,1,0,0,0,14.4583,1
630,0,3,1,0,0,0,7.7333,2
826,1,3,1,0,0,0,6.95,2
887,0,2,1,27,0,0,13,3
501,1,3,1,17,0,0,8.6625,3
675,0,2,1,0,0,0,0,3
733,0,2,1,0,0,0,0,3
364,0,3,1,35,0,0,7.05,3
771,0,3,1,24,0,0,9.5,3
834,0,3,1,23,0,0,7.8542,3
213,0,3,1,22,0,0,7.25,3
228,1,3,1,20.5,0,0,7.25,3
244,0,3,1,22,0,0,7.125,3
321,0,3,1,22,0,0,7.25,3
659,0,2,1,23,0,0,13,3
667,1,2,1,25,0,0,13,3
125,0,1,1,54,0,1,77.2875,3
518,0,3,1,0,0,0,24.15,2
784,0,3,1,0,1,2,23.45,3
563,0,2,1,28,0,0,13.5,3
567,1,3,1,19,0,0,7.8958,3
575,1,3,1,16,0,0,8.05,3
245,0,3,1,30,0,0,7.225,1
425,0,3,1,18,1,1,20.2125,3
668,1,3,1,0,0,0,7.775,3
566,0,3,1,24,2,0,24.15,3
314,0,3,1,28,0,0,7.8958,3
322,0,3,1,27,0,0,7.8958,3
591,1,3,1,35,0,0,7.125,3
884,0,2,1,28,0,0,10.5,3
215,1,3,1,0,1,0,7.75,2
769,0,3,1,0,1,0,24.15,2
218,1,2,1,42,1,0,27,3
237,0,2,1,44,1,0,26,3
509,0,3,1,28,0,0,22.525,3
123,0,2,1,32.5,1,0,30.0708,1
309,0,2,1,30,1,0,24,1
705,0,3,1,26,1,0,7.8542,3
171,0,1,1,61,0,0,33.5,3
515,0,3,1,24,0,0,7.4958,3
744,1,3,1,24,1,0,16.1,3
777,1,3,1,0,0,0,7.75,2
779,1,3,1,0,0,0,7.7375,2
791,1,3,1,0,0,0,7.75,2
30,0,3,1,0,0,0,7.8958,3
46,0,3,1,0,0,0,8.05,3
77,0,3,1,0,0,0,7.8958,3
78,0,3,1,0,0,0,8.05,3
88,1,3,1,0,0,0,8.05,3
149,0,2,1,36.5,0,2,26,3
471,0,3,1,0,0,0,7.25,3
758,1,2,1,18,0,0,11.5,3
